name,last_update,url,path
Greiðslubyrði fjölskyldna sem hlutfall af tekjum eftir tekjubilum 2015-2018,2018-07-10T08:59:19Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/lifskjor/5_skuldastada_heimili/2_greidslubyrdi/SKU01003.px,"Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Efnislegur skortur - Fjárhagsstaða heimila - Húsnæðismál - Skuldir og eignir  - Skuldir, eignir og eiginfjárstaða einstaklinga úr skattframtölum - Skuldastaða og greiðslubyrði fjölskyldna"
Greiðslubyrði fjölskyldna sem hlutfall af tekjum eftir eignabilum 2015-2018,2018-07-10T08:59:19Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/lifskjor/5_skuldastada_heimili/2_greidslubyrdi/SKU01004.px,"Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Efnislegur skortur - Fjárhagsstaða heimila - Húsnæðismál - Skuldir og eignir  - Skuldir, eignir og eiginfjárstaða einstaklinga úr skattframtölum - Skuldastaða og greiðslubyrði fjölskyldna"
Greiðslubyrði fjölskyldna sem hlutfall af tekjum eftir eiginfjárbilum 2015-2018,2018-07-10T08:59:19Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/lifskjor/5_skuldastada_heimili/2_greidslubyrdi/SKU01005.px,"Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Efnislegur skortur - Fjárhagsstaða heimila - Húsnæðismál - Skuldir og eignir  - Skuldir, eignir og eiginfjárstaða einstaklinga úr skattframtölum - Skuldastaða og greiðslubyrði fjölskyldna"
Skuldastaða fjölskyldna sem hlutfall af tekjum eftir fjölskyldugerð 2015-2018,2018-07-10T08:59:19Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/lifskjor/5_skuldastada_heimili/2_greidslubyrdi/SKU01006.px,"Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Efnislegur skortur - Fjárhagsstaða heimila - Húsnæðismál - Skuldir og eignir  - Skuldir, eignir og eiginfjárstaða einstaklinga úr skattframtölum - Skuldastaða og greiðslubyrði fjölskyldna"
Skuldastaða fjölskyldna sem hlutfall af tekjum eftir aldursbilum 2015-2018,2018-07-10T08:59:19Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/lifskjor/5_skuldastada_heimili/2_greidslubyrdi/SKU01007.px,"Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Efnislegur skortur - Fjárhagsstaða heimila - Húsnæðismál - Skuldir og eignir  - Skuldir, eignir og eiginfjárstaða einstaklinga úr skattframtölum - Skuldastaða og greiðslubyrði fjölskyldna"
Skuldastaða fjölskyldna sem hlutfall af tekjum eftir tekjubilum 2015-2018,2018-07-10T08:59:19Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/lifskjor/5_skuldastada_heimili/2_greidslubyrdi/SKU01008.px,"Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Efnislegur skortur - Fjárhagsstaða heimila - Húsnæðismál - Skuldir og eignir  - Skuldir, eignir og eiginfjárstaða einstaklinga úr skattframtölum - Skuldastaða og greiðslubyrði fjölskyldna"
Skuldastaða fjölskyldna sem hlutfall af tekjum eftir eignabilum 2015-2018,2018-07-10T08:59:19Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/lifskjor/5_skuldastada_heimili/2_greidslubyrdi/SKU01009.px,"Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Efnislegur skortur - Fjárhagsstaða heimila - Húsnæðismál - Skuldir og eignir  - Skuldir, eignir og eiginfjárstaða einstaklinga úr skattframtölum - Skuldastaða og greiðslubyrði fjölskyldna"
Skuldastaða fjölskyldna sem hlutfall af tekjum eftir eiginfjárbilum 2015-2018,2018-07-10T08:59:19Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/lifskjor/5_skuldastada_heimili/2_greidslubyrdi/SKU01010.px,"Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Efnislegur skortur - Fjárhagsstaða heimila - Húsnæðismál - Skuldir og eignir  - Skuldir, eignir og eiginfjárstaða einstaklinga úr skattframtölum - Skuldastaða og greiðslubyrði fjölskyldna"
Miðgildi ráðstöfunartekna eftir kyni og aldri 2004-2016,2018-07-09T09:29:43Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/launogtekjur/3_tekjur/2_tekjur_silc/LIF01120.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Laun - Vísitölur launa - Tekjur - Staðgreiðsluskyldar greiðslur - Tekjur - skattframtöl - Ráðstöfunartekjur - lífskjararannsókn 
Miðgildi ráðstöfunartekna eftir menntun og tekjufimmtungum 2004-2016,2018-07-09T09:29:43Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/launogtekjur/3_tekjur/2_tekjur_silc/LIF01121.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Laun - Vísitölur launa - Tekjur - Staðgreiðsluskyldar greiðslur - Tekjur - skattframtöl - Ráðstöfunartekjur - lífskjararannsókn 
Miðgildi ráðstöfunartekna eftir búsetu 2004-2016,2018-07-09T09:29:43Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/launogtekjur/3_tekjur/2_tekjur_silc/LIF01122.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Laun - Vísitölur launa - Tekjur - Staðgreiðsluskyldar greiðslur - Tekjur - skattframtöl - Ráðstöfunartekjur - lífskjararannsókn 
Miðgildi ráðstöfunartekna eftir heimilisgerð 2004-2016,2018-07-09T09:29:43Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/launogtekjur/3_tekjur/2_tekjur_silc/LIF01123.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Laun - Vísitölur launa - Tekjur - Staðgreiðsluskyldar greiðslur - Tekjur - skattframtöl - Ráðstöfunartekjur - lífskjararannsókn 
Miðgildi ráðstöfunartekna eftir húsnæðisstöðu og húsnæðisgerð 2004-2016,2018-07-09T09:29:43Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/launogtekjur/3_tekjur/2_tekjur_silc/LIF01124.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Laun - Vísitölur launa - Tekjur - Staðgreiðsluskyldar greiðslur - Tekjur - skattframtöl - Ráðstöfunartekjur - lífskjararannsókn 
